borough name,cime recodes,cime rate per 1000,,,,,,,,,,,,,
Barking and Dagenham,"21,189",99.5,,,,,,,,,,,,,
Barnet,"31,911",80.6,,,,,,,,,,,,,
Bexley,"18,323",73.8,,,,,,,,,,,,,
Brent,"31,725",96.2,,,,,,,,,,,,,
Bromley,"25,802",77.6,,,,,,,,,,,,,
Camden,"38,530",142.7,,,,,,,,,,,,,
Croydon,"36,790",95.1,,,,,,,,,,,,,
Ealing,"32,841",96.1,,,,,,,,,,,,,
Enfield,"32,080",96.1,,,,,,,,,,,,,
Greenwich,"30,019",104.3,,,,,,,,,,,,,
Hackney,"34,510",122.8,,,,,,,,,,,,,
Hammersmith and Fulham,"23,360",126.2,,,,,,,,,,,,,
Haringey,"32,818",122.2,,,,,,,,,,,,,
Harrow,"17,909",71.3,,,,,,,,,,,,,
Havering,"19,185",73.9,,,,,,,,,,,,,
Hillingdon,"28,616",93.3,,,,,,,,,,,,,
Hounslow,"27,920",102.8,,,,,,,,,,,,,
Islington,"30,392",125.3,,,,,,,,,,,,,
Kensington and Chelsea,"24,304",155.7,,,,,,,,,,,,,
Kingston upon Thames,"13,221",74.5,,,,,,,,,,,,,
Lambeth,"36,235",111.1,,,,,,,,,,,,,
Lewisham,"30,534",99.8,,,,,,,,,,,,,
Merton,"15,181",73.5,,,,,,,,,,,,,
Newham,"37,107",105.1,,,,,,,,,,,,,
Redbridge,"25,402",83.2,,,,,,,,,,,,,
Richmond upon Thames,"13,413",67.7,,,,,,,,,,,,,
Southwark,"38,790",121.7,,,,,,,,,,,,,
Sutton,"14,871",72.1,,,,,,,,,,,,,
Tower Hamlets,"35,475",109.2,,,,,,,,,,,,,
Waltham Forest,"25,947",93.7,,,,,,,,,,,,,
Wandsworth,"27,261",82.7,,,,,,,,,,,,,
Westminster,"73,603",281.7,,,,,,,,,,,,,
City of London,"9,236",982.4486757,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,